Regulator	RegulatoryEffect	TargetGene
CTNNB1	upregulates-expression	IGF2BP1
CARM1	upregulates-expression	KLK3
CARM1	upregulates-expression	KLK2
CNR1	downregulates-expression	FOXO1
KLF6	upregulates-expression	PMAIP1
TFDP2	upregulates-expression	SUZ12
TFDP1	upregulates-expression	SUZ12
HNF4A	upregulates-expression	PCSK9
TP53	upregulates-expression	PDGFRB
RELA	downregulates-expression	BAX
TP53	upregulates-expression	PCBP4
IL18RAP	upregulates-expression	IL13
MEF2A	upregulates-expression	NRF1
FOSB	upregulates-expression	CXCL8
GPNMB	upregulates-expression	MITF
MITF	upregulates-expression	GPNMB
PPID	upregulates-expression	CTNNB1
TP53	upregulates-expression	ATF3
SNAI2	upregulates-expression	MITF
ZNF224	downregulates-expression	ALDOA
CARM1	upregulates-expression	GADD45A
GATA6	upregulates-expression	CYP17A1
EPAS1	upregulates-expression	SLC11A2
JUN	upregulates-expression	FABP4
CDC25A	upregulates-expression	NFYA
RELA	upregulates-expression	CCNB1
MDM2	downregulates-expression	KLK3
DNMT1	upregulates-expression	TERT
FOS	upregulates-expression	TGFB1
EDNRA	upregulates-expression	CYSLTR1
EDNRA	upregulates-expression	CYSLTR2
NPC1	upregulates-expression	SREBF1
NPC1	upregulates-expression	SREBF2
HELZ2	upregulates-expression	ABCB4
HELZ2	upregulates-expression	ABCA1
NOTCH3	upregulates-expression	PLXND1
NOTCH1	upregulates-expression	PLXND1
PTGDR	upregulates-expression	CES3
PTGDR	upregulates-expression	CES1
PTGDR	upregulates-expression	CES2
A1BG	downregulates-expression	A2M
ESR1	upregulates-expression	PISD
RYBP	upregulates-expression	CDC6
MEN1	downregulates-expression	TERT
PPARA	upregulates-expression	PDK4
PPARD	upregulates-expression	PDK4
HSF1	upregulates-expression	MICB
HSF1	upregulates-expression	MICA
RXRA	upregulates-expression	ALAS1
SUPT5H	upregulates-expression	FANCI
STK11	upregulates-expression	MYC
RELA	upregulates-expression	CXCL12
RELA	upregulates-expression	CXCL10
AHR	upregulates-expression	IL6
TGFB1	downregulates-expression	IFNG
CDX1	upregulates-expression	PTGS2
ZEB1	upregulates-expression	E2F1
ZNF217	downregulates-expression	CDH1
H2BFS	upregulates-expression	CCND1
NR1H4	upregulates-expression	STK11
MSX2	downregulates-expression	BCL2
RELA	upregulates-expression	CCND1
NPM1	upregulates-expression	GLI1
CCND1	upregulates-expression	RELA
RELA	upregulates-expression	CCND2
DDIT3	downregulates-expression	ANKRD1
SMARCD3	upregulates-expression	CPT1A
EDN1	upregulates-expression	CYSLTR2
FOXO4	upregulates-expression	CREB1
EDN1	upregulates-expression	CYSLTR1
STAT4	downregulates-expression	LMNB1
STAT3	upregulates-expression	VIM
VIP	upregulates-expression	STAT1
VIP	upregulates-expression	STAT3
ABCA3	upregulates-expression	NKX2-1
IKBKB	downregulates-expression	CD44
JUN	upregulates-expression	STMN1
ARNT	upregulates-expression	NDRG1
SRF	upregulates-expression	UBE2S
ODC1	upregulates-expression	MYC
MYC	upregulates-expression	ODC1
HDGF	upregulates-expression	VEGFB
HDGF	upregulates-expression	VEGFA
KLF10	upregulates-expression	CDKN1A
ERG	upregulates-expression	ENG
CREBBP	upregulates-expression	TRIB3
NKX3-1	downregulates-expression	CCND1
SNAI1	upregulates-expression	AR
SNAI2	upregulates-expression	AR
NCOA3	upregulates-expression	EBAG9
ESR1	upregulates-expression	CXXC5
HDAC2	downregulates-expression	COL1A2
TAL1	downregulates-expression	NFKB1
JUN	upregulates-expression	AFP
HELZ2	upregulates-expression	PLIN1
HELZ2	upregulates-expression	PLIN2
ZNF521	downregulates-expression	BGLAP
ESR1	upregulates-expression	GPAM
MAX	upregulates-expression	ODC1
JAK2	upregulates-expression	CCL3
JAK2	upregulates-expression	CCL4
JAK2	upregulates-expression	CCL2
EGF	upregulates-expression	FOS
FOXQ1	upregulates-expression	RSPO2
NFKB1	downregulates-expression	HOXA9
HOXA9	downregulates-expression	NFKB1
SREBF1	upregulates-expression	PPARG
SREBF2	upregulates-expression	PPARG
H3F3B	upregulates-expression	KLK2
H3F3B	upregulates-expression	KLK3
JAK2	upregulates-expression	CCR5
EZH2	upregulates-expression	PCNA
PPARG	upregulates-expression	PCK1
AR	downregulates-expression	BTG2
AR	downregulates-expression	BTG1
PTGDR	upregulates-expression	CDC6
FOXP3	upregulates-expression	RSPO3
JAK2	upregulates-expression	CD3E
JMY	upregulates-expression	BAX
HLF	upregulates-expression	DBP
FOS	upregulates-expression	EZR
SLC26A2	upregulates-expression	CTNNB1
HIF1A	upregulates-expression	VIM
TAF12	upregulates-expression	CCND2
TAF10	upregulates-expression	CCND2
AR	upregulates-expression	TMPRSS2
ATF4	upregulates-expression	HERPUD1
JUN	downregulates-expression	HLA-A
RRP1B	upregulates-expression	E2F1
JUN	upregulates-expression	UGT2B15
TP53	upregulates-expression	CRYAB
MAML1	downregulates-expression	TNFRSF12A
MEOX2	upregulates-expression	CTNNB1
FANCI	upregulates-expression	ATM
ATM	upregulates-expression	FANCI
FANCI	upregulates-expression	ATR
ATR	upregulates-expression	FANCI
NKX3-2	upregulates-expression	SOX9
STAT3	upregulates-expression	GFAP
TBL1XR1	upregulates-expression	PPARA
NUPR1	downregulates-expression	MSL1
XBP1	upregulates-expression	SEC31A
LEF1	upregulates-expression	MYCBP
MYCBP	upregulates-expression	LEF1
MED1	upregulates-expression	TRIB3
NFKB1	upregulates-expression	TRAF1
FOS	upregulates-expression	FAS
TFDP1	upregulates-expression	NRIP1
IL12RB1	upregulates-expression	IL6
ETV4	downregulates-expression	ERBB2
FOSL1	upregulates-expression	DMTF1
WT1	downregulates-expression	TBXA2R
PTGDR	upregulates-expression	TYMS
RORA	downregulates-expression	NPSR1
CRY2	upregulates-expression	ARNTL
ARNTL	upregulates-expression	CRY2
CRY1	upregulates-expression	ARNTL
ARNTL	upregulates-expression	CRY1
CARM1	upregulates-expression	TXNRD1
STAT4	downregulates-expression	TALDO1
MAX	downregulates-expression	SERPINE1
CDK12	upregulates-expression	CHEK1
MYC	upregulates-expression	PDCD10
TP53	upregulates-expression	SCO2
SDC2	downregulates-expression	CTNNB1
GATA6	upregulates-expression	SULT2A1
H2AFJ	upregulates-expression	CCND1
H2AFZ	upregulates-expression	CCND1
H2AFX	upregulates-expression	CCND1
JUN	upregulates-expression	CCK
H2AFV	upregulates-expression	CCND1
APCS	upregulates-expression	TP53
TP53	upregulates-expression	APCS
KIF2C	downregulates-expression	E2F1
CBX7	downregulates-expression	CCNE1
CISH	upregulates-expression	SOCS2
SOCS2	upregulates-expression	CISH
CISH	upregulates-expression	SOCS1
SOCS1	upregulates-expression	CISH
CDK11B	upregulates-expression	POU2F3
ZNF382	downregulates-expression	CDK6
FLI1	upregulates-expression	MPL
AGRP	upregulates-expression	FOXO1
FOXO1	upregulates-expression	AGRP
IL2	upregulates-expression	MYC
ATF4	upregulates-expression	BGLAP
FOS	upregulates-expression	FASLG
NR1H4	upregulates-expression	INS
MYC	upregulates-expression	IGK
JUN	upregulates-expression	LIF
NCOR1	downregulates-expression	NR1D1
CIITA	downregulates-expression	COL1A2
CIITA	downregulates-expression	COL1A1
SREBF1	downregulates-expression	PDX1
MYBL2	upregulates-expression	CCNB1
MYBL2	upregulates-expression	CCNB2
SP1	upregulates-expression	TGFB1
EZH2	downregulates-expression	HDAC1
NCOA1	upregulates-expression	ALAS1
HOXA10	upregulates-expression	IGFBP1
NCOA2	upregulates-expression	ALAS1
NCOA6	upregulates-expression	ALAS1
HLA-DRA	downregulates-expression	GLI2
FZR1	upregulates-expression	IL6
HDAC7	downregulates-expression	MEF2A
HDAC5	downregulates-expression	MEF2A
SIRT1	downregulates-expression	TBX3
HDAC9	downregulates-expression	MEF2A
HDAC7	downregulates-expression	MEF2C
HDAC7	downregulates-expression	MEF2D
HDAC4	downregulates-expression	MEF2A
TFDP2	upregulates-expression	CDKN2C
TFDP1	upregulates-expression	CDKN2C
CNTN2	upregulates-expression	GLI2
EP400	downregulates-expression	CDKN1A
TFDP2	upregulates-expression	CDKN1B
TFDP1	upregulates-expression	CDKN1A
TFDP1	upregulates-expression	CDKN1B
TFDP2	upregulates-expression	CDKN1A
PGK1	upregulates-expression	HIF1A
HIF1A	upregulates-expression	PGK1
PAX5	upregulates-expression	FHL2
HIF1A	upregulates-expression	PGM1
RXRA	upregulates-expression	CPT2
JUN	upregulates-expression	CXCL8
SPI1	upregulates-expression	TLR4
RUNX3	upregulates-expression	CASP7
ABCA3	upregulates-expression	GATA6
RUNX3	upregulates-expression	CASP8
RUNX3	upregulates-expression	CASP2
RUNX3	upregulates-expression	CASP3
RUNX3	upregulates-expression	SPP1
IL18RAP	upregulates-expression	IFNG
RUNX1	upregulates-expression	SPI1
MYC	upregulates-expression	FUT3
MYB	upregulates-expression	IL7
JUN	upregulates-expression	LOR
JAK1	upregulates-expression	FOXO3
WWTR1	upregulates-expression	CCN2
GABPB1	upregulates-expression	TWNK
FOXO4	upregulates-expression	IGFBP1
FOXO3	upregulates-expression	IGFBP1
IGFBP1	upregulates-expression	FOXO1
IL13	upregulates-expression	ITGAX
IL13	upregulates-expression	ITGB2
IL13	upregulates-expression	ITGB1
IL13	upregulates-expression	ITGAM
IL1A	upregulates-expression	ITGA6
FOS	upregulates-expression	NR3C1
MZF1	upregulates-expression	PADI1
FGF10	upregulates-expression	PTF1A
JUN	upregulates-expression	MGP
RUNX3	upregulates-expression	BCL2L11
MNAT1	upregulates-expression	RAD51D
BRCA1	downregulates-expression	FOXC1
BRCA1	downregulates-expression	FOXC2
NCOA2	upregulates-expression	CD36
NCOA3	upregulates-expression	CD36
NCOA6	upregulates-expression	CD36
NCOA1	upregulates-expression	CD36
PTTG1	upregulates-expression	CDK1
ARNT	upregulates-expression	CYP1B1
SND1	upregulates-expression	LECT2
ARNT	upregulates-expression	CYP1A1
ATF4	upregulates-expression	CCL2
SALL4	upregulates-expression	ZEB1
HIF1A	upregulates-expression	PFKL
PFKL	upregulates-expression	HIF1A
MYCN	downregulates-expression	GRHL1
TP73	upregulates-expression	PMAIP1
TP63	upregulates-expression	PMAIP1
RXRA	upregulates-expression	ACSL1
STAT3	upregulates-expression	PIM1
RBBP4	upregulates-expression	CCNB1
TP53	upregulates-expression	PMAIP1
RBBP4	upregulates-expression	CCNB2
JUN	upregulates-expression	MYB
FOXP3	downregulates-expression	BRCA1
CREG1	downregulates-expression	HSPA4
TFDP1	upregulates-expression	FBXO5
TFDP2	upregulates-expression	FBXO5
OTX2	upregulates-expression	IL6
EPCAM	upregulates-expression	CTNNB1
SIN3A	downregulates-expression	KLK3
STAT3	upregulates-expression	PIAS3
FOXA2	upregulates-expression	IGFBP1
TP53	upregulates-expression	RPS27L
FEN1	upregulates-expression	GLI2
NR3C1	upregulates-expression	FGG
TGS1	upregulates-expression	UGT1A9
BRCA1	upregulates-expression	CHEK1
CHEK1	upregulates-expression	BRCA1
TBL1XR1	upregulates-expression	NPAS2
RNF187	upregulates-expression	PLAU
CEBPB	upregulates-expression	CDKN2B
MYB	upregulates-expression	KIT
TP53	upregulates-expression	NLRC4
CDKN1A	upregulates-expression	CEBPA
CEBPB	upregulates-expression	CDKN1A
SOX6	upregulates-expression	TP53
WT1	upregulates-expression	AMH
IL23R	upregulates-expression	IL1B
IL23A	upregulates-expression	IL24
SP1	upregulates-expression	EPO
SMARCD3	upregulates-expression	TIAM2
IL23R	upregulates-expression	IL19
IL1B	upregulates-expression	IL23A
IL23A	upregulates-expression	IL1B
IL6ST	upregulates-expression	IFNG
IL23A	upregulates-expression	IL19
IL10	upregulates-expression	IL1RN
CBFB	upregulates-expression	SMURF1
RELA	upregulates-expression	IL23A
IL13	upregulates-expression	MAOA
MAP2K3	downregulates-expression	TNF
SP1	upregulates-expression	ENG
NPM1	downregulates-expression	MYBL2
IL23R	upregulates-expression	IL24
LAMC2	upregulates-expression	CTNNB1
SIN3B	downregulates-expression	TERT
TBL1X	upregulates-expression	CD36
SIN3A	downregulates-expression	TERT
NFIB	upregulates-expression	CDKN1A
RELA	upregulates-expression	IL1RN
POU5F1	upregulates-expression	LEFTY1
MTA1	upregulates-expression	SNAI1
MTA1	upregulates-expression	SNAI2
RELA	upregulates-expression	IL17C
RELA	upregulates-expression	IL17A
NFKB1	downregulates-expression	BHMT
ERBB4	upregulates-expression	CSN2
HIST2H3C	upregulates-expression	MYC
HOXA10	downregulates-expression	EMX2
SP1	upregulates-expression	FAS
TGIF1	downregulates-expression	SERPINE1
TGIF2	downregulates-expression	SERPINE1
EGR2	downregulates-expression	SCD5
NFYA	upregulates-expression	CDKN1B
NFYB	upregulates-expression	CDKN1B
GATA2	downregulates-expression	PPARG
NFYC	upregulates-expression	CDKN1B
SP1	upregulates-expression	EZR
JUN	upregulates-expression	NTS
COPS5	upregulates-expression	EPO
ATF2	upregulates-expression	GADD45A
IL2RA	downregulates-expression	IL2RG
IL2RB	downregulates-expression	IL2RG
COL5A2	upregulates-expression	GLI2
CREB1	upregulates-expression	PPP2CA
FOXA1	downregulates-expression	CFTR
FOXA2	downregulates-expression	CFTR
IL2RG	upregulates-expression	TNFRSF9
DNMT1	downregulates-expression	CXCR4
IL2RG	upregulates-expression	TNFRSF4
IL2RB	upregulates-expression	TNFRSF9
IL2RA	upregulates-expression	TNFRSF9
IL2RA	upregulates-expression	TNFRSF4
IL2RB	upregulates-expression	TNFRSF4
KHSRP	downregulates-expression	CXCL8
TRPM1	upregulates-expression	MITF
MITF	upregulates-expression	TRPM1
FOS	upregulates-expression	SRR
SRF	upregulates-expression	FOS
XBP1	upregulates-expression	ACADVL
GABPA	upregulates-expression	TFAM
KAT5	upregulates-expression	KLK3
IL12B	upregulates-expression	IL24
SP3	upregulates-expression	FOS
DNMT3A	downregulates-expression	CDKN1A
IL12B	upregulates-expression	IL1B
KAT5	upregulates-expression	TFF1
IL12B	upregulates-expression	IL19
RELA	upregulates-expression	IL12A
RELA	upregulates-expression	IL12B
MYB	upregulates-expression	LCK
LCK	upregulates-expression	MYC
RING1	downregulates-expression	UXT
HDAC9	downregulates-expression	HSPA5
HDAC1	downregulates-expression	HSPA5
WWTR1	upregulates-expression	BGLAP
CDKN1A	downregulates-expression	GLI2
MYCN	downregulates-expression	SKP2
SREBF1	downregulates-expression	PCK1
MYB	upregulates-expression	LYZ
TBP	upregulates-expression	FOS
SOX2	downregulates-expression	MKI67
FOXI1	downregulates-expression	CFTR
TFAP4	upregulates-expression	CDKN1A
LMO2	downregulates-expression	CDH1
CALM2	upregulates-expression	CBLB
TP53	upregulates-expression	SPP1
SPDEF	downregulates-expression	MMP9
RPS16	upregulates-expression	MYC
RPS19	upregulates-expression	MYC
RPS20	upregulates-expression	MYC
SNAI2	upregulates-expression	MMP9
SNW1	upregulates-expression	PLXND1
ANGPT4	downregulates-expression	ANGPT2
ANGPT1	downregulates-expression	ANGPT2
NR5A1	upregulates-expression	AMH
RXRA	upregulates-expression	ACOX1
ATF5	upregulates-expression	CYP2B6
TRPV3	upregulates-expression	AR
CREBBP	upregulates-expression	PSMC5
ERG	upregulates-expression	CXCR4
TP53	upregulates-expression	BCL2L14
TWIST1	upregulates-expression	BMI1
FOS	upregulates-expression	LBP
BCL2	upregulates-expression	TCF7
TP73	upregulates-expression	BCL2L11
TP53	downregulates-expression	CCNB2
PML	upregulates-expression	BAX
TP53	downregulates-expression	CCNB1
EZH2	downregulates-expression	CIITA
HIF1A	downregulates-expression	RECK
TRERF1	downregulates-expression	LILRB4
TRERF1	downregulates-expression	LILRB1
TRERF1	downregulates-expression	LILRB2
TP53	downregulates-expression	CCND1
TP73	downregulates-expression	CCNB1
HDAC1	upregulates-expression	CLDN7
CREB1	upregulates-expression	CCND1
KAT2B	downregulates-expression	CDK2
CRX	upregulates-expression	NR2E3
SUPT3H	upregulates-expression	CAD
FAM120B	upregulates-expression	ADIPOQ
JUN	upregulates-expression	HRK
FOS	upregulates-expression	CXCL8
PRKCH	downregulates-expression	GLI1
EPHB3	upregulates-expression	CTNNB1
DR1	upregulates-expression	NR1I2
SUPT7L	upregulates-expression	CAD
SP1	upregulates-expression	RECQL4
E2F1	upregulates-expression	RAD51
RAD51	upregulates-expression	E2F1
IRF1	upregulates-expression	CYBB
IRF8	upregulates-expression	CYBB
PTTG1	upregulates-expression	TCF7L2
LMX1B	upregulates-expression	NLRP2
SMARCD3	upregulates-expression	TNFRSF21
CHD9	upregulates-expression	HMGCR
POLR2A	upregulates-expression	CHEK1
POLR2D	upregulates-expression	CHEK1
MLXIPL	upregulates-expression	PKLR
POLR2E	upregulates-expression	CHEK1
POLR2B	upregulates-expression	CHEK1
POLR2C	upregulates-expression	CHEK1
POLR2H	upregulates-expression	CHEK1
POLR2I	upregulates-expression	CHEK1
POLR2F	upregulates-expression	CHEK1
POLR2G	upregulates-expression	CHEK1
POLR2L	upregulates-expression	CHEK1
POLR2J	upregulates-expression	CHEK1
POLR2K	upregulates-expression	CHEK1
ESR1	upregulates-expression	CDKN1A
ESR2	upregulates-expression	CDKN1A
TBL1X	upregulates-expression	ACADM
ABL1	upregulates-expression	FOXO3
TP63	upregulates-expression	S100A2
CREM	downregulates-expression	CCL4
TP73	upregulates-expression	S100A2
NR1H4	upregulates-expression	DCN
WDR5	upregulates-expression	GP1BA
NFKB1	upregulates-expression	SERPINE1
POU5F1	downregulates-expression	BMP4
APH1A	upregulates-expression	HIF1A
IL12RB1	upregulates-expression	CD4
NFKB1	upregulates-expression	SERPINB1
TBL1X	upregulates-expression	TXNRD1
BHLHE40	upregulates-expression	NR1H2
BHLHE40	upregulates-expression	NR1H3
NR1H3	upregulates-expression	BHLHE40
ZNF175	downregulates-expression	FOXD3
PPARGC1A	upregulates-expression	ARNTL
SUPT5H	upregulates-expression	ATM
SUPT5H	upregulates-expression	ATR
SREBF2	upregulates-expression	NFYA
CDKN2A	downregulates-expression	PLK1
MITF	upregulates-expression	SERPINF1
SUPT16H	upregulates-expression	FANCD2
PIAS4	downregulates-expression	SOCS1
TP53	downregulates-expression	UHRF1
PML	upregulates-expression	HIPK2
TP53	upregulates-expression	S100A2
CDK1	downregulates-expression	FOXO1
NR3C1	upregulates-expression	BAX
NR3C1	upregulates-expression	BAD
JUN	upregulates-expression	IL5
JUN	upregulates-expression	IL6
JUN	upregulates-expression	IL3
JUN	upregulates-expression	IL4
PPP2R4	downregulates-expression	TP53
PARP1	upregulates-expression	E2F1
SP1	upregulates-expression	APC
SP1	upregulates-expression	APP
CDKN1A	downregulates-expression	CTNNB1
FAM120B	upregulates-expression	PLIN1
CTNNB1	downregulates-expression	CDKN2A
TGS1	upregulates-expression	PLIN2
NCOA6	upregulates-expression	TXNRD1
NCOA1	upregulates-expression	TXNRD1
NCOA2	upregulates-expression	TXNRD1
SSRP1	upregulates-expression	CDKN1A
NCOA2	upregulates-expression	ACADM
NCOA1	upregulates-expression	ACADM
HELZ2	upregulates-expression	ADIPOQ
NCOA6	upregulates-expression	ACADM
CDC25A	upregulates-expression	ESR1
SPI1	upregulates-expression	GATA1
CEBPA	upregulates-expression	HBP1
NF1	upregulates-expression	FOS
BCL3	downregulates-expression	NFKB1
SF1	upregulates-expression	AMH
NFATC1	upregulates-expression	CD3G
STAT6	upregulates-expression	PIGR
BCL6	downregulates-expression	NFKB1
NCOA1	upregulates-expression	CYP1A1
NCOA2	upregulates-expression	CYP1A1
NCOA6	upregulates-expression	CYP1A1
PPARGC1B	downregulates-expression	RUNX2
MSX1	upregulates-expression	NOTCH3
IL23R	upregulates-expression	IFNG
E2F1	upregulates-expression	SERPINB5
HDAC2	upregulates-expression	ALOX5
HDAC3	upregulates-expression	ALOX5
SP1	upregulates-expression	BAX
IL23A	upregulates-expression	IFNG
TEF	upregulates-expression	ALB
DUSP1	upregulates-expression	E2F1
E2F1	upregulates-expression	DUSP1
TRRAP	upregulates-expression	MDM2
PRDM1	downregulates-expression	CIITA
E2F4	upregulates-expression	HCFC1
HCFC1	upregulates-expression	E2F1
SP1	upregulates-expression	FMR1
NANOG	upregulates-expression	SALL1
CREB1	upregulates-expression	PPARGC1A
SMARCD3	upregulates-expression	ANKRD1
CYP8B1	upregulates-expression	SREBF1
SPDEF	upregulates-expression	KLK3
FOS	upregulates-expression	NTS
LRRFIP1	downregulates-expression	EGFR
REST	downregulates-expression	STAT1
GATA2	downregulates-expression	CYBB
TCF3	downregulates-expression	POU5F1
TP73	upregulates-expression	TP53I3
TP63	upregulates-expression	TP53I3
